frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.941995, 1, 0.105466, 0.411329, -0.905365, -0.309182, 0.337448, -0.889121, 68.64, 3.46647, 389.862, 0.0584819, -0.0560294, 0.1195, -0.147093, 0.46279
2, 0.0166833, 0.948097, 1, 0.109419, 0.414574, -0.903414, -0.316463, 0.333003, -0.888234, 67.8243, 3.25541, 387.773, 0.0717333, -0.0623003, 0.138858, -0.144679, 0.475008
3, 0.0333667, 0.950797, 1, 0.0972731, 0.414715, -0.904737, -0.316968, 0.334143, -0.887626, 68.2261, 3.08129, 388.937, 0.0723055, -0.0714332, 0.153442, -0.142026, 0.47372
4, 0.05005, 0.948815, 1, 0.0911229, 0.419878, -0.902995, -0.309219, 0.348732, -0.884742, 68.1688, 2.4627, 389.483, 0.0506692, -0.0743105, 0.160586, -0.138702, 0.46246
5, 0.0667333, 0.925744, 1, 0.0685464, 0.438061, -0.896328, -0.320131, 0.357672, -0.877261, 67.9936, 1.0342, 391.417, -0.0366947, -0.0688147, 0.165497, -0.166697, 0.393527
6, 0.0834167, 0.928965, 1, 0.0375437, 0.441468, -0.896491, -0.311439, 0.354084, -0.881833, 68.198, 0.614735, 392.049, -0.0649274, -0.0783017, 0.166364, -0.16266, 0.360639
7, 0.1001, 0.929831, 1, 0.0848124, 0.424541, -0.901427, -0.33169, 0.352795, -0.874939, 69.2547, 1.04937, 392.838, -0.0679824, -0.096448, 0.161562, -0.121957, 0.353374
8, 0.116783, 0.943141, 1, 0.104088, 0.413799, -0.904398, -0.340456, 0.336367, -0.878036, 71.0032, 1.28679, 397.264, -0.0658617, -0.127182, 0.158173, -0.0725691, 0.344848
9, 0.133467, 0.939078, 1, 0.115209, 0.40889, -0.905282, -0.328592, 0.330863, -0.884623, 72.1951, 1.21003, 400.384, -0.0573934, -0.139415, 0.155892, -0.0414251, 0.350869
10, 0.15015, 0.939058, 1, 0.122663, 0.40453, -0.906261, -0.346018, 0.331551, -0.877693, 73.2592, 0.738937, 400.582, -0.0461548, -0.142437, 0.153494, -0.0404282, 0.361633
11, 0.166833, 0.94558, 1, 0.0892409, 0.400712, -0.911848, -0.341031, 0.329403, -0.880449, 75.7535, 0.363587, 403.268, -0.030278, -0.152669, 0.149043, -0.0410688, 0.372383
12, 0.183517, 0.967355, 1, 0.0896441, 0.393585, -0.914907, -0.355731, 0.321989, -0.87737, 78.3785, 0.738865, 400.68, -0.0101452, -0.165112, 0.148879, -0.0299311, 0.384349
13, 0.2002, 0.965018, 1, 0.0986553, 0.400172, -0.911114, -0.37416, 0.348183, -0.859519, 81.6638, 2.06661, 396.745, 0.00222454, -0.189817, 0.130043, -0.00351519, 0.418308
14, 0.216883, 0.958358, 1, 0.0603105, 0.378625, -0.923583, -0.324951, 0.345906, -0.880202, 84.9053, 4.44715, 389.569, -0.00754135, -0.206679, 0.117614, 0.0291358, 0.395104
15, 0.233567, 0.960576, 1, 0.0582995, 0.39313, -0.917633, -0.341235, 0.341933, -0.87558, 90.0196, 6.64225, 385.21, -0.0187043, -0.234987, 0.119113, 0.0455227, 0.387408
16, 0.25025, 0.956239, 1, 0.0406182, 0.373112, -0.926897, -0.404364, 0.350346, -0.844836, 96.8031, 7.01851, 385.831, -0.019255, -0.256973, 0.122532, 0.0213224, 0.375125
17, 0.266933, 0.954887, 1, 0.00447038, 0.382072, -0.924122, -0.378067, 0.31712, -0.86977, 100.987, 5.53561, 386.72, -0.0228532, -0.253614, 0.127947, 0.0116926, 0.352251
18, 0.283617, 0.955338, 1, 0.0290348, 0.387092, -0.921584, -0.378518, 0.316021, -0.869974, 102.478, 3.37596, 388.321, -0.0320561, -0.250812, 0.126896, 0.0174689, 0.348046
19, 0.3003, 0.959452, 1, 0.0135157, 0.394415, -0.918833, -0.380828, 0.320988, -0.867143, 102.956, 1.74707, 390.286, -0.038372, -0.236278, 0.12581, -0.0135266, 0.34699
20, 0.316983, 0.963435, 1, 0.0315088, 0.404293, -0.914086, -0.382536, 0.347862, -0.855954, 102.834, 0.513039, 392.053, -0.0327026, -0.229615, 0.122847, -0.0195171, 0.375108
21, 0.333667, 0.964991, 1, -0.0128891, 0.41025, -0.911882, -0.341426, 0.335808, -0.877873, 102.353, -0.164363, 393.138, -0.0299786, -0.204691, 0.116213, -0.0483846, 0.373772
22, 0.35035, 0.925563, 1, 0.0121401, 0.401649, -0.915713, -0.360351, 0.327839, -0.873309, 102.339, -0.482619, 396.14, -0.0353619, -0.182886, 0.116813, -0.069885, 0.360331
23, 0.367033, 0.936878, 1, -0.0110011, 0.411041, -0.91155, -0.385646, 0.349123, -0.854043, 103.928, -1.20196, 403.061, 0.00432309, -0.150986, 0.123868, -0.145487, 0.413716
24, 0.383717, 0.942817, 1, -0.00522867, 0.415291, -0.909674, -0.387112, 0.353445, -0.851599, 103.107, -1.39848, 401.258, 0.0209295, -0.156525, 0.133621, -0.13848, 0.434167
25, 0.4004, 0.94091, 1, 0.00557147, 0.409088, -0.912478, -0.402315, 0.352013, -0.845121, 102.071, -0.979034, 400.495, 0.0343111, -0.157687, 0.143329, -0.139322, 0.442636
26, 0.417083, 0.944551, 1, 0.0114762, 0.41076, -0.911671, -0.375628, 0.354253, -0.856393, 101.617, -0.0826003, 400.71, 0.0375093, -0.152011, 0.148098, -0.127269, 0.448877
27, 0.433767, 0.942467, 1, 0.014988, 0.402492, -0.915301, -0.397148, 0.347276, -0.849513, 101.091, 1.0227, 400.819, 0.0390789, -0.151967, 0.147861, -0.135122, 0.441865
28, 0.45045, 0.939386, 1, -0.00716153, 0.400849, -0.916116, -0.419722, 0.346, -0.839117, 100.565, 2.36615, 401.643, 0.0428923, -0.15147, 0.148576, -0.159539, 0.44155
29, 0.467133, 0.948277, 1, -0.00850918, 0.402337, -0.915452, -0.413771, 0.334629, -0.84665, 100.27, 3.06787, 402.467, 0.0509713, -0.148041, 0.149129, -0.158431, 0.444063
30, 0.483817, 0.94582, 1, -0.00928557, 0.396552, -0.917965, -0.410985, 0.343502, -0.844451, 100.332, 3.15804, 403.645, 0.0503167, -0.148524, 0.149418, -0.156254, 0.444789
31, 0.5005, 0.94356, 1, 0.0187351, 0.384188, -0.923065, -0.393638, 0.347439, -0.851079, 100.113, 3.40613, 403.434, 0.0524264, -0.147411, 0.150534, -0.130149, 0.445298
32, 0.517183, 0.942545, 1, 0.0308528, 0.379298, -0.92476, -0.393851, 0.338019, -0.854766, 100.423, 3.36176, 403.771, 0.053418, -0.151071, 0.154086, -0.118243, 0.438654
33, 0.533867, 0.943111, 1, 0.0151664, 0.385472, -0.922595, -0.38873, 0.341028, -0.855914, 100.689, 2.92776, 403.593, 0.0560993, -0.151623, 0.157783, -0.123867, 0.44419
34, 0.55055, 0.94538, 1, -0.000628769, 0.379865, -0.925042, -0.391897, 0.339462, -0.855092, 100.709, 2.61979, 402.521, 0.0588275, -0.153392, 0.161387, -0.13175, 0.440246
35, 0.567233, 0.945291, 1, -0.000580435, 0.380256, -0.924881, -0.390113, 0.340162, -0.855629, 101.069, 2.10452, 403.475, 0.0606473, -0.154342, 0.162408, -0.130941, 0.44235
36, 0.583917, 0.945341, 1, -0.0192762, 0.375406, -0.92666, -0.38705, 0.332666, -0.859957, 101.002, 1.63748, 402.936, 0.065696, -0.151824, 0.163217, -0.139496, 0.438363
37, 0.6006, 0.94962, 1, -0.0244975, 0.381045, -0.924232, -0.400812, 0.331327, -0.85415, 101.025, 1.8655, 402.22, 0.0718702, -0.15114, 0.162795, -0.151677, 0.446135
38, 0.617283, 0.946711, 1, -0.0135267, 0.37389, -0.927374, -0.386205, 0.327985, -0.862132, 100.859, 2.53164, 401.205, 0.0762329, -0.150965, 0.160506, -0.135459, 0.446765
39, 0.633967, 0.946811, 1, -0.0225381, 0.37628, -0.926232, -0.399061, 0.325741, -0.857113, 100.958, 3.16294, 401.313, 0.0827199, -0.150383, 0.156674, -0.147625, 0.452663
40, 0.65065, 0.949208, 1, -0.0228197, 0.373951, -0.927167, -0.408756, 0.324423, -0.853034, 101.24, 3.94348, 401.203, 0.0856157, -0.152639, 0.153369, -0.149156, 0.454004
41, 0.667333, 0.952088, 1, -0.014577, 0.370779, -0.928607, -0.383333, 0.337505, -0.859736, 101.17, 4.66954, 401.688, 0.0901181, -0.148194, 0.150138, -0.135017, 0.465465
42, 0.684017, 0.948867, 1, -0.0327275, 0.377435, -0.925458, -0.375638, 0.341647, -0.861495, 101.55, 4.71759, 401.867, 0.0893725, -0.147374, 0.147549, -0.142733, 0.469431
43, 0.7007, 0.949234, 1, -0.0397027, 0.37506, -0.92615, -0.383135, 0.336171, -0.860346, 102.004, 4.77842, 402.902, 0.0910924, -0.147648, 0.14733, -0.151538, 0.465886
44, 0.717383, 0.949624, 1, -0.0403247, 0.379802, -0.924188, -0.398625, 0.339238, -0.852066, 102.178, 4.72725, 403.35, 0.0919283, -0.142711, 0.146957, -0.168976, 0.470916
45, 0.734067, 0.949019, 1, -0.0296993, 0.37623, -0.92605, -0.388659, 0.338158, -0.857084, 102.534, 4.28767, 403.318, 0.088709, -0.148091, 0.149638, -0.15159, 0.465706
46, 0.75075, 0.951013, 1, -0.0401705, 0.373968, -0.926571, -0.412281, 0.337903, -0.846077, 102.817, 3.82935, 403.429, 0.088481, -0.147886, 0.152328, -0.173593, 0.461815
47, 0.767433, 0.95205, 1, -0.0330019, 0.376933, -0.925653, -0.406131, 0.33029, -0.852037, 103.008, 3.42827, 403.645, 0.0921102, -0.144279, 0.154545, -0.169974, 0.463157
48, 0.784117, 0.951107, 1, -0.0422733, 0.381524, -0.923392, -0.386243, 0.347643, -0.854378, 103.228, 3.03012, 404.405, 0.0966489, -0.138795, 0.156463, -0.175848, 0.479027
49, 0.8008, 0.948067, 1, -0.0447964, 0.38286, -0.92272, -0.387304, 0.346285, -0.854448, 103.108, 3.05279, 403.349, 0.0940647, -0.136191, 0.15808, -0.181435, 0.475658
50, 0.817483, 0.95015, 1, -0.0122734, 0.386208, -0.92233, -0.385378, 0.350392, -0.853645, 102.805, 3.48721, 401.665, 0.0934854, -0.136552, 0.159534, -0.163406, 0.481427
51, 0.834167, 0.95016, 1, -0.0375278, 0.383828, -0.922642, -0.392389, 0.348183, -0.851351, 103.121, 3.7255, 402.652, 0.0935966, -0.13545, 0.160671, -0.183631, 0.476093
52, 0.85085, 0.949344, 1, -0.0431762, 0.386604, -0.921235, -0.384272, 0.34825, -0.855019, 103.431, 3.7329, 403.016, 0.0889237, -0.138121, 0.16177, -0.179729, 0.472395
53, 0.867533, 0.950345, 1, -0.0448396, 0.385137, -0.921769, -0.393833, 0.337721, -0.854892, 103.615, 3.88618, 403.603, 0.0895906, -0.136452, 0.165013, -0.187946, 0.465491
54, 0.884217, 0.950464, 1, -0.0291357, 0.379417, -0.924767, -0.38858, 0.345745, -0.854088, 103.703, 3.85758, 402.783, 0.0897565, -0.139201, 0.165926, -0.174201, 0.468242
55, 0.9009, 0.94933, 1, -0.0253076, 0.374718, -0.926793, -0.397395, 0.336881, -0.853574, 104.012, 3.68961, 402.909, 0.0850919, -0.144361, 0.169495, -0.17023, 0.455485
56, 0.917583, 0.947702, 1, -0.0275311, 0.380241, -0.924477, -0.389696, 0.340086, -0.85585, 104.243, 3.66654, 403.112, 0.0856584, -0.147358, 0.170469, -0.165087, 0.460867
57, 0.934267, 0.945973, 1, -0.00488624, 0.372887, -0.927864, -0.397322, 0.33722, -0.853474, 104.115, 3.74058, 401.975, 0.0874468, -0.150455, 0.172889, -0.151687, 0.458526
58, 0.95095, 0.948618, 1, -0.0325467, 0.367705, -0.929373, -0.407614, 0.335724, -0.8492, 104.489, 4.0439, 402.33, 0.087847, -0.154963, 0.172903, -0.166091, 0.452429
59, 0.967633, 0.947874, 1, -0.0220412, 0.38116, -0.924246, -0.402817, 0.33845, -0.850406, 104.398, 4.49815, 402.166, 0.0874952, -0.154638, 0.173406, -0.160421, 0.461826
60, 0.984317, 0.948728, 1, -0.0130013, 0.368575, -0.929507, -0.405869, 0.330014, -0.852268, 104.85, 4.85964, 403.26, 0.091949, -0.158899, 0.172725, -0.149063, 0.455803
61, 1.001, 0.945099, 1, -0.0433887, 0.378455, -0.924602, -0.449305, 0.328598, -0.830752, 105.07, 5.01326, 403.146, 0.0989963, -0.160244, 0.172451, -0.191872, 0.462304
62, 1.01768, 0.947955, 1, -0.0489429, 0.372229, -0.92685, -0.414215, 0.337624, -0.845243, 104.965, 5.20495, 401.694, 0.0997914, -0.160416, 0.171702, -0.172756, 0.465046
63, 1.03437, 0.949338, 1, -0.0585813, 0.372016, -0.926376, -0.435132, 0.32965, -0.837849, 105.297, 5.30156, 402.127, 0.101303, -0.161663, 0.170833, -0.187429, 0.460637
64, 1.05105, 0.948122, 1, -0.0525952, 0.385732, -0.92111, -0.431157, 0.326149, -0.841267, 105.272, 5.43973, 401.294, 0.104835, -0.160716, 0.171124, -0.184797, 0.470336
65, 1.06773, 0.950889, 1, -0.0591879, 0.368915, -0.927577, -0.43532, 0.322132, -0.840671, 105.793, 5.72676, 401.808, 0.106753, -0.165135, 0.16929, -0.181721, 0.460219
66, 1.08442, 0.950362, 1, -0.0537555, 0.348379, -0.935811, -0.377737, 0.305906, -0.87392, 105.921, 5.86784, 401.309, 0.108767, -0.165243, 0.169398, -0.137383, 0.445465
67, 1.1011, 0.953161, 1, -0.0376583, 0.318567, -0.947152, -0.349128, 0.267236, -0.898162, 106.283, 5.63708, 401.15, 0.106808, -0.172158, 0.166544, -0.0927717, 0.411546
68, 1.11778, 0.966858, 1, -0.0239902, 0.283308, -0.958729, -0.338045, 0.285374, -0.896821, 106.518, 5.45103, 400.691, 0.113529, -0.179738, 0.163561, -0.0673467, 0.410899
69, 1.13447, 0.961719, 1, -0.0234605, 0.28475, -0.958315, -0.327744, 0.27077, -0.905134, 105.642, 5.29755, 393.743, 0.0969337, -0.212672, 0.151818, -0.0128985, 0.391037
70, 1.15115, 0.960675, 1, -0.0194922, 0.272444, -0.961974, -0.322976, 0.272784, -0.906242, 105.596, 4.63801, 391.138, 0.0765818, -0.224595, 0.145641, 0.0100525, 0.367986
71, 1.16783, 0.961049, 1, -0.0179771, 0.245221, -0.969301, -0.323394, 0.255251, -0.911188, 105.472, 4.18624, 388.991, 0.0639679, -0.228654, 0.141125, 0.0201238, 0.334471
72, 1.18452, 0.962192, 1, -0.0166913, 0.249216, -0.968304, -0.30931, 0.258374, -0.915189, 105.349, 3.70253, 387.156, 0.0504399, -0.240093, 0.139361, 0.0415576, 0.326891
