frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.97025, 1, 0.209077, 0.211993, -0.954644, -0.0713123, 0.204377, -0.976291, -1.10939, -9.80829, 346.659, 0.0889764, 0.0643992, 0.0903229, -0.04343, 0.338245
2, 0.0166833, 0.970853, 1, 0.197584, 0.21431, -0.956573, -0.0801624, 0.209686, -0.974477, -1.32862, -10.071, 346.967, 0.101132, 0.0550984, 0.10561, -0.0419298, 0.355516
3, 0.0333667, 0.970496, 1, 0.191485, 0.216096, -0.957411, -0.0823871, 0.205957, -0.975087, -1.32047, -9.86146, 346.621, 0.10501, 0.0457275, 0.113465, -0.032578, 0.359568
4, 0.05005, 0.971471, 1, 0.189163, 0.211562, -0.958884, -0.0810524, 0.212053, -0.973891, -1.40985, -9.80926, 346.585, 0.110304, 0.0456549, 0.118419, -0.0326352, 0.365725
5, 0.0667333, 0.969761, 1, 0.18014, 0.214488, -0.959971, -0.0876001, 0.204532, -0.974932, -1.46856, -10.2927, 347.856, 0.112455, 0.0440212, 0.12226, -0.0381932, 0.365058
6, 0.0834167, 0.970301, 1, 0.180996, 0.212156, -0.960328, -0.0852201, 0.21084, -0.973799, -1.83998, -11.1118, 347.128, 0.107399, 0.0428949, 0.122084, -0.0339302, 0.361992
7, 0.1001, 0.971706, 1, 0.175416, 0.21359, -0.961046, -0.100989, 0.203553, -0.973841, -2.35593, -11.492, 346.983, 0.109749, 0.043599, 0.120565, -0.0452542, 0.360438
8, 0.116783, 0.971163, 1, 0.160649, 0.213664, -0.963608, -0.120889, 0.203058, -0.971676, -2.70892, -11.8045, 346.526, 0.111574, 0.0439031, 0.118581, -0.0632305, 0.36011
9, 0.133467, 0.969942, 1, 0.169726, 0.209345, -0.962999, -0.121363, 0.199711, -0.97231, -2.79534, -12.1107, 345.575, 0.112953, 0.0441252, 0.117288, -0.0572768, 0.358314
10, 0.15015, 0.969879, 1, 0.15642, 0.216153, -0.963748, -0.12072, 0.204726, -0.971346, -2.91711, -12.4073, 346.103, 0.112663, 0.0449299, 0.117837, -0.0664221, 0.363619
11, 0.166833, 0.970868, 1, 0.150072, 0.214778, -0.965064, -0.119092, 0.207345, -0.970992, -3.32869, -12.8173, 345.755, 0.112219, 0.0464749, 0.117142, -0.0710969, 0.363043
12, 0.183517, 0.971759, 1, 0.147443, 0.213958, -0.965651, -0.122879, 0.208599, -0.970251, -3.501, -12.4693, 344.845, 0.117615, 0.0436376, 0.115118, -0.0700114, 0.369239
13, 0.2002, 0.968054, 1, 0.141562, 0.207638, -0.967908, -0.12243, 0.205091, -0.971056, -3.57126, -11.1426, 344.526, 0.123482, 0.044295, 0.114614, -0.0734032, 0.368703
14, 0.216883, 0.9678, 1, 0.144844, 0.207005, -0.967558, -0.125303, 0.200598, -0.971627, -3.53435, -10.3215, 345.756, 0.122921, 0.0449897, 0.115192, -0.0744614, 0.365635
15, 0.233567, 0.967957, 1, 0.142779, 0.201187, -0.969091, -0.124003, 0.202808, -0.971335, -3.42274, -10.4879, 346.111, 0.121542, 0.0441935, 0.115903, -0.0739547, 0.361876
16, 0.25025, 0.967261, 1, 0.148123, 0.212397, -0.965892, -0.13382, 0.209105, -0.968694, -3.36, -11.159, 345.745, 0.115306, 0.0437363, 0.115346, -0.0756892, 0.364741
17, 0.266933, 0.96836, 1, 0.149073, 0.20658, -0.967007, -0.125344, 0.205741, -0.970546, -3.55818, -11.0677, 345.115, 0.115462, 0.0445734, 0.114993, -0.0710746, 0.360659
18, 0.283617, 0.969062, 1, 0.146304, 0.216889, -0.965171, -0.142102, 0.221782, -0.964686, -4.06992, -10.5701, 345.122, 0.120573, 0.0469553, 0.113272, -0.0850835, 0.378691
19, 0.3003, 0.969667, 1, 0.147235, 0.204725, -0.967682, -0.129926, 0.20392, -0.970328, -4.34502, -10.6675, 345.707, 0.117226, 0.0450471, 0.112114, -0.0741403, 0.359847
20, 0.316983, 0.970605, 1, 0.153127, 0.212257, -0.965142, -0.133971, 0.200437, -0.970503, -4.35168, -11.3963, 345.568, 0.116357, 0.0463355, 0.112526, -0.074889, 0.36072
21, 0.333667, 0.968932, 1, 0.14993, 0.211929, -0.965716, -0.130331, 0.20061, -0.970963, -4.17614, -12.1537, 345.455, 0.113535, 0.0460793, 0.112347, -0.074318, 0.358342
22, 0.35035, 0.969796, 1, 0.156234, 0.210483, -0.965033, -0.132192, 0.212491, -0.96818, -4.03397, -12.3066, 345.374, 0.116219, 0.0459225, 0.112914, -0.0728511, 0.36703
23, 0.367033, 0.970053, 1, 0.152897, 0.214745, -0.964628, -0.1304, 0.213382, -0.968227, -4.33541, -12.7867, 346.362, 0.118957, 0.0488983, 0.11231, -0.0782595, 0.372272
24, 0.383717, 0.97006, 1, 0.183704, 0.212988, -0.95963, -0.0933265, 0.205397, -0.974219, -4.54233, -13.5594, 346.683, 0.113124, 0.0472236, 0.113511, -0.038965, 0.365081
25, 0.4004, 0.969746, 1, 0.188808, 0.219278, -0.957219, -0.0828303, 0.195297, -0.97724, -5.03974, -14.2552, 346.172, 0.108758, 0.0470735, 0.113802, -0.0298665, 0.359913
26, 0.417083, 0.972794, 1, 0.200672, 0.226243, -0.953176, -0.0846053, 0.210843, -0.973852, -5.55731, -14.5154, 346.59, 0.110438, 0.0484778, 0.113692, -0.0280465, 0.373753
27, 0.433767, 0.972585, 1, 0.191445, 0.231712, -0.95376, -0.0776677, 0.205675, -0.975533, -6.14227, -15.125, 347.504, 0.110101, 0.0472872, 0.112543, -0.027852, 0.372075
28, 0.45045, 0.969686, 1, 0.191092, 0.233654, -0.953357, -0.0654409, 0.232168, -0.970472, -6.93024, -16.1895, 346.633, 0.106818, 0.0471126, 0.112982, -0.0216191, 0.385792
29, 0.467133, 0.96856, 1, 0.197095, 0.231768, -0.952595, -0.0711387, 0.223306, -0.972149, -7.63898, -16.4262, 345.836, 0.110131, 0.0485654, 0.113965, -0.0226273, 0.3838
30, 0.483817, 0.970388, 1, 0.189982, 0.218476, -0.95717, -0.0641065, 0.209716, -0.975659, -8.17769, -16.1239, 345.982, 0.114728, 0.0493669, 0.113243, -0.0214649, 0.374013
31, 0.5005, 0.967829, 1, 0.185806, 0.219314, -0.957798, -0.0833194, 0.210343, -0.974071, -8.32634, -16.1416, 346.358, 0.112598, 0.0480527, 0.11422, -0.0331483, 0.371799
32, 0.517183, 0.970599, 1, 0.188849, 0.22083, -0.956854, -0.0841459, 0.213207, -0.973377, -8.44761, -16.4307, 346.256, 0.113925, 0.0482256, 0.114307, -0.0318162, 0.375728
33, 0.533867, 0.972312, 1, 0.202532, 0.229379, -0.952033, -0.0738491, 0.216483, -0.973489, -8.89833, -16.7464, 346.686, 0.111791, 0.0520934, 0.11394, -0.0244555, 0.381006
34, 0.55055, 0.969621, 1, 0.188304, 0.22275, -0.956517, -0.0877721, 0.216084, -0.972422, -9.18501, -16.9332, 346.167, 0.110864, 0.0491671, 0.115139, -0.0353372, 0.375014
